state,ward_id,month,consumption_kwh
Chandigarh,W6,2014-11,1.17
Chandigarh,W6,2014-12,1.32
Chandigarh,W6,2015-01,1.3
Chandigarh,W6,2015-02,1.31
Chandigarh,W6,2015-03,1.53
Chandigarh,W7,2014-04,5.58
Chandigarh,W7,2014-05,5.4
Chandigarh,W7,2014-06,5.96
Chandigarh,W7,2014-07,5.81
Chandigarh,W7,2014-08,5.7
Chandigarh,W7,2014-09,4.46
Chandigarh,W7,2014-10,5.02
Chandigarh,W7,2014-11,5.14
Chandigarh,W7,2014-12,4.91
Chandigarh,W7,2015-01,5.23
Chandigarh,W7,2015-02,5.58
Chandigarh,W7,2015-03,5.3
Chandigarh,W8,2014-04,12.12
Chandigarh,W8,2014-05,14.4
Chandigarh,W8,2014-06,14.52
Chandigarh,W8,2014-07,14.64
Chandigarh,W8,2014-08,15.2
Chandigarh,W8,2014-09,11.87
Chandigarh,W8,2014-10,11.62
Chandigarh,W8,2014-11,12.18
Chandigarh,W8,2014-12,12.55
Chandigarh,W8,2015-01,12.72
Chandigarh,W8,2015-02,13.54
Chandigarh,W8,2015-03,13.38
Chandigarh,W9,2014-04,1.79
Chandigarh,W9,2014-05,1.86
Chandigarh,W9,2014-06,1.85
Chandigarh,W9,2014-07,2.03
Chandigarh,W9,2014-08,1.94
Chandigarh,W9,2014-09,1.83
Chandigarh,W9,2014-10,1.73
Chandigarh,W9,2014-11,1.66
Chandigarh,W9,2014-12,1.53
Chandigarh,W9,2015-01,1.72
Chandigarh,W9,2015-02,1.83
Chandigarh,W9,2015-03,1.92
Chandigarh,W10,2014-04,15.94
Chandigarh,W10,2014-05,16.13
Chandigarh,W10,2014-06,14.69
Chandigarh,W10,2014-07,17.69
Chandigarh,W10,2014-08,17.06
Chandigarh,W10,2014-09,15.18
Chandigarh,W10,2014-10,14.58
Chandigarh,W10,2014-11,14.7
Chandigarh,W10,2014-12,13.76
Chandigarh,W10,2015-01,15.14
Chandigarh,W10,2015-02,15.56
Chandigarh,W10,2015-03,15.4
Delhi,W1,2014-04,6.18
Delhi,W1,2014-05,6.67
Delhi,W1,2014-06,7.68
Delhi,W1,2014-07,7.03
Delhi,W1,2014-08,6.91
Delhi,W1,2014-09,5.02
Delhi,W1,2014-10,5.92
Delhi,W1,2014-11,5.45
Delhi,W1,2014-12,5.37
Delhi,W1,2015-01,5.98
Delhi,W1,2015-02,6.35
Delhi,W1,2015-03,6.61
Delhi,W2,2014-04,14.6
Delhi,W2,2014-05,14.49
Delhi,W2,2014-06,15.29
Delhi,W2,2014-07,15.09
Delhi,W2,2014-08,14.38
Delhi,W2,2014-09,13.77
Delhi,W2,2014-10,12.2
Delhi,W2,2014-11,12.01
Delhi,W2,2014-12,11.39
Delhi,W2,2015-01,13.5
Delhi,W2,2015-02,13.6
Delhi,W2,2015-03,13.38
Delhi,W3,2014-04,22.19
Delhi,W3,2014-05,22.1
Delhi,W3,2014-06,26.78
Delhi,W3,2014-07,27.49
Delhi,W3,2014-08,24.15
Delhi,W3,2014-09,22.24
Delhi,W3,2014-10,22.82
Delhi,W3,2014-11,20.54
Delhi,W3,2014-12,19.57
Delhi,W3,2015-01,21.29
Delhi,W3,2015-02,20.48
Delhi,W3,2015-03,22.34
Delhi,W4,2014-04,14.49
Delhi,W4,2014-05,17.05
Delhi,W4,2014-06,15.42
Delhi,W4,2014-07,17.16
Delhi,W4,2014-08,15.52
Delhi,W4,2014-09,12.82
Delhi,W4,2014-10,14.12
Delhi,W4,2014-11,13.52
Delhi,W4,2014-12,12.43
Delhi,W4,2015-01,14.08
Delhi,W4,2015-02,13.98
Delhi,W4,2015-03,14.8
Delhi,W5,2014-04,24.53
Delhi,W5,2014-05,24.61
Delhi,W5,2014-06,26.21
Delhi,W5,2014-07,25.98
Delhi,W5,2014-08,25.09
Delhi,W5,2014-09,23.45
Delhi,W5,2014-10,22.37
Delhi,W5,2014-11,20.5
Delhi,W5,2014-12,20.53
Delhi,W5,2015-01,22.99
Delhi,W5,2015-02,22.36
Delhi,W5,2015-03,24.9
Delhi,W6,2014-04,8.13
Delhi,W6,2014-05,8.01
Delhi,W6,2014-06,8.44
Delhi,W6,2014-07,8.42
Delhi,W6,2014-08,8.01
Delhi,W6,2014-09,7.75
Delhi,W6,2014-10,6.75
Delhi,W6,2014-11,6.34
Delhi,W6,2014-12,6.45
Delhi,W6,2015-01,7.17
Delhi,W6,2015-02,6.99
Delhi,W6,2015-03,7.52
Delhi,W7,2014-04,16.97
Delhi,W7,2014-05,15.02
Delhi,W7,2014-06,15.46
Delhi,W7,2014-07,18.39
Delhi,W7,2014-08,17.08
Delhi,W7,2014-09,16.14
Delhi,W7,2014-10,15.28
Delhi,W7,2014-11,15.67
Delhi,W7,2014-12,15.87
Delhi,W7,2015-01,16.32
Delhi,W7,2015-02,15.67
Delhi,W7,2015-03,15.61
Delhi,W8,2014-04,17.77
Delhi,W8,2014-05,18.48
Delhi,W8,2014-06,19.02
Delhi,W8,2014-07,19.41
Delhi,W8,2014-08,17.79
Delhi,W8,2014-09,16.63
Delhi,W8,2014-10,15.95
Delhi,W8,2014-11,14.17
Delhi,W8,2014-12,14.98
Delhi,W8,2015-01,15.31
Delhi,W8,2015-02,15.92
Delhi,W8,2015-03,16.0
Delhi,W9,2014-04,1.91
Delhi,W9,2014-05,2.1
Delhi,W9,2014-06,2.12
Delhi,W9,2014-07,2.06
Delhi,W9,2014-08,2.1
Delhi,W9,2014-09,1.95
Delhi,W9,2014-10,1.77
Delhi,W9,2014-11,1.56
Delhi,W9,2014-12,1.58
Delhi,W9,2015-01,1.6
Delhi,W9,2015-02,1.97
Delhi,W9,2015-03,1.97
Delhi,W10,2014-04,7.34
Delhi,W10,2014-05,7.87
Delhi,W10,2014-06,8.09
Delhi,W10,2014-07,7.84
Delhi,W10,2014-08,7.7
Delhi,W10,2014-09,7.11
Delhi,W10,2014-10,6.54
Delhi,W10,2014-11,6.52
Delhi,W10,2014-12,6.69
Delhi,W10,2015-01,6.7
Delhi,W10,2015-02,7.25
Delhi,W10,2015-03,8.08
Haryana,W1,2014-04,26.99
Haryana,W1,2014-05,28.27
Haryana,W1,2014-06,30.21
Haryana,W1,2014-07,28.64
Haryana,W1,2014-08,28.2
Haryana,W1,2014-09,23.99
Haryana,W1,2014-10,22.69
Haryana,W1,2014-11,24.69
Haryana,W1,2014-12,22.87
Haryana,W1,2015-01,25.36
Haryana,W1,2015-02,24.69
Haryana,W1,2015-03,28.85
Haryana,W2,2014-04,25.31
Haryana,W2,2014-05,25.79
Haryana,W2,2014-06,28.43
Haryana,W2,2014-07,26.91
Haryana,W2,2014-08,26.75
Haryana,W2,2014-09,26.77
Haryana,W2,2014-10,22.55
Haryana,W2,2014-11,22.55
Haryana,W2,2014-12,23.28
Haryana,W2,2015-01,25.32
Haryana,W2,2015-02,23.41
Haryana,W2,2015-03,27.12
Haryana,W3,2014-04,47.63
Haryana,W3,2014-05,49.73
Haryana,W3,2014-06,51.83
Haryana,W3,2014-07,58.87
Haryana,W3,2014-08,56.53
Haryana,W3,2014-09,47.43
Haryana,W3,2014-10,46.78
Haryana,W3,2014-11,42.62
Haryana,W3,2014-12,46.41
Haryana,W3,2015-01,49.94
Haryana,W3,2015-02,52.18
Haryana,W3,2015-03,52.8
Haryana,W4,2014-04,7.19
Haryana,W4,2014-05,6.61
Haryana,W4,2014-06,6.84
Haryana,W4,2014-07,7.39
Haryana,W4,2014-08,7.16
Haryana,W4,2014-09,6.64
Haryana,W4,2014-10,6.43
Haryana,W4,2014-11,5.57
Haryana,W4,2014-12,5.43
Haryana,W4,2015-01,6.35
Haryana,W4,2015-02,6.33
Haryana,W4,2015-03,6.99
Haryana,W5,2014-04,6.41
Haryana,W5,2014-05,6.89
Haryana,W5,2014-06,6.45
Haryana,W5,2014-07,6.69
Haryana,W5,2014-08,7.07
Haryana,W5,2014-09,6.35
Haryana,W5,2014-10,5.87
Haryana,W5,2014-11,5.25
Haryana,W5,2014-12,5.38
Haryana,W5,2015-01,5.53
Haryana,W5,2015-02,5.57
Haryana,W5,2015-03,6.9
Haryana,W6,2014-04,4.35
Haryana,W6,2014-05,4.05
Haryana,W6,2014-06,5.0
Haryana,W6,2014-07,4.71
Haryana,W6,2014-08,4.72
Haryana,W6,2014-09,4.03
Haryana,W6,2014-10,4.02
Haryana,W6,2014-11,3.87
Haryana,W6,2014-12,4.06
Haryana,W6,2015-01,4.22
Haryana,W6,2015-02,4.27
Haryana,W6,2015-03,4.29
Haryana,W7,2014-04,22.43
Haryana,W7,2014-05,23.3
Haryana,W7,2014-06,26.76
Haryana,W7,2014-07,26.95
Haryana,W7,2014-08,24.65
Haryana,W7,2014-09,21.0
Haryana,W7,2014-10,22.58
Haryana,W7,2014-11,20.94
Haryana,W7,2014-12,22.54
Haryana,W7,2015-01,23.28
Haryana,W7,2015-02,23.25
Haryana,W7,2015-03,22.98
Haryana,W8,2014-04,9.56
Haryana,W8,2014-05,10.1
Haryana,W8,2014-06,9.73
Haryana,W8,2014-07,10.99
Haryana,W8,2014-08,9.28
Haryana,W8,2014-09,8.78
Haryana,W8,2014-10,8.47
Haryana,W8,2014-11,8.64
Haryana,W8,2014-12,8.51
Haryana,W8,2015-01,9.63
Haryana,W8,2015-02,9.65
Haryana,W8,2015-03,8.98
Haryana,W9,2014-04,3.41
Haryana,W9,2014-05,3.19
Haryana,W9,2014-06,3.25
Haryana,W9,2014-07,3.18
Haryana,W9,2014-08,3.29
Haryana,W9,2014-09,2.96
Haryana,W9,2014-10,2.7
Haryana,W9,2014-11,2.48
Haryana,W9,2014-12,2.34
Haryana,W9,2015-01,3.11
Haryana,W9,2015-02,3.02
Haryana,W9,2015-03,3.16
Haryana,W10,2014-04,3.93
Haryana,W10,2014-05,4.28
Haryana,W10,2014-06,4.48
Haryana,W10,2014-07,4.96
Haryana,W10,2014-08,4.24
Haryana,W10,2014-09,3.8
Haryana,W10,2014-10,3.83
Haryana,W10,2014-11,3.47
Haryana,W10,2014-12,3.88
Haryana,W10,2015-01,3.97
Haryana,W10,2015-02,4.03
Haryana,W10,2015-03,4.01
Himachal Pradesh,W1,2014-04,2.59
Himachal Pradesh,W1,2014-05,2.71
Himachal Pradesh,W1,2014-06,2.9
Himachal Pradesh,W1,2014-07,3.06
Himachal Pradesh,W1,2014-08,2.86
Himachal Pradesh,W1,2014-09,2.44
Himachal Pradesh,W1,2014-10,2.39
Himachal Pradesh,W1,2014-11,2.25
Himachal Pradesh,W1,2014-12,2.28
Himachal Pradesh,W1,2015-01,2.43
Himachal Pradesh,W1,2015-02,2.52
Himachal Pradesh,W1,2015-03,2.67
Himachal Pradesh,W2,2014-04,5.98
Himachal Pradesh,W2,2014-05,6.16
Himachal Pradesh,W2,2014-06,6.76
Himachal Pradesh,W2,2014-07,6.46
Himachal Pradesh,W2,2014-08,6.82
Himachal Pradesh,W2,2014-09,5.91
Himachal Pradesh,W2,2014-10,4.98
Himachal Pradesh,W2,2014-11,5.9
Himachal Pradesh,W2,2014-12,5.55
Himachal Pradesh,W2,2015-01,5.53
Himachal Pradesh,W2,2015-02,5.7
Himachal Pradesh,W2,2015-03,6.07
Himachal Pradesh,W3,2014-04,19.78
Himachal Pradesh,W3,2014-05,19.58
Himachal Pradesh,W3,2014-06,21.72
Himachal Pradesh,W3,2014-07,19.06
Himachal Pradesh,W3,2014-08,20.48
Himachal Pradesh,W3,2014-09,17.67
Himachal Pradesh,W3,2014-10,16.44
Himachal Pradesh,W3,2014-11,17.01
Himachal Pradesh,W3,2014-12,16.71
Himachal Pradesh,W3,2015-01,16.36
Himachal Pradesh,W3,2015-02,17.84
Himachal Pradesh,W3,2015-03,21.7
Himachal Pradesh,W4,2014-04,14.08
Himachal Pradesh,W4,2014-05,13.49
Himachal Pradesh,W4,2014-06,12.59
Himachal Pradesh,W4,2014-07,14.88
Himachal Pradesh,W4,2014-08,12.94
Himachal Pradesh,W4,2014-09,11.85
Himachal Pradesh,W4,2014-10,11.82
Himachal Pradesh,W4,2014-11,10.52
Himachal Pradesh,W4,2014-12,11.64
Himachal Pradesh,W4,2015-01,11.22
Himachal Pradesh,W4,2015-02,11.48
Himachal Pradesh,W4,2015-03,12.75
Himachal Pradesh,W5,2014-04,20.0
Himachal Pradesh,W5,2014-05,20.04
Himachal Pradesh,W5,2014-06,21.25
Himachal Pradesh,W5,2014-07,21.54
Himachal Pradesh,W5,2014-08,21.99
Himachal Pradesh,W5,2014-09,19.14
Himachal Pradesh,W5,2014-10,20.54
Himachal Pradesh,W5,2014-11,17.09
Himachal Pradesh,W5,2014-12,18.74
Himachal Pradesh,W5,2015-01,18.06
Himachal Pradesh,W5,2015-02,20.41
Himachal Pradesh,W5,2015-03,18.59
Himachal Pradesh,W6,2014-04,6.81
Himachal Pradesh,W6,2014-05,7.38
Himachal Pradesh,W6,2014-06,7.96
Himachal Pradesh,W6,2014-07,8.24
Himachal Pradesh,W6,2014-08,7.74
Himachal Pradesh,W6,2014-09,6.72
Himachal Pradesh,W6,2014-10,6.81
Himachal Pradesh,W6,2014-11,6.51
Himachal Pradesh,W6,2014-12,6.67
Himachal Pradesh,W6,2015-01,6.94
Himachal Pradesh,W6,2015-02,7.14
Himachal Pradesh,W6,2015-03,7.53
Himachal Pradesh,W7,2014-04,12.81
Himachal Pradesh,W7,2014-05,13.2
Himachal Pradesh,W7,2014-06,13.66
Himachal Pradesh,W7,2014-07,12.61
Himachal Pradesh,W7,2014-08,13.53
Himachal Pradesh,W7,2014-09,11.92
Himachal Pradesh,W7,2014-10,11.42
Himachal Pradesh,W7,2014-11,10.21
Himachal Pradesh,W7,2014-12,11.2
Himachal Pradesh,W7,2015-01,11.84
Himachal Pradesh,W7,2015-02,11.12
Himachal Pradesh,W7,2015-03,13.23
Himachal Pradesh,W8,2014-04,7.2
Himachal Pradesh,W8,2014-05,7.61
Himachal Pradesh,W8,2014-06,8.08
Himachal Pradesh,W8,2014-07,7.88
Himachal Pradesh,W8,2014-08,8.1
Himachal Pradesh,W8,2014-09,6.52
Himachal Pradesh,W8,2014-10,7.04
Himachal Pradesh,W8,2014-11,6.37
Himachal Pradesh,W8,2014-12,6.07
Himachal Pradesh,W8,2015-01,6.32
Himachal Pradesh,W8,2015-02,6.88
Himachal Pradesh,W8,2015-03,7.23
Himachal Pradesh,W9,2014-04,11.17
Himachal Pradesh,W9,2014-05,9.65
Himachal Pradesh,W9,2014-06,11.38
Himachal Pradesh,W9,2014-07,11.51
Himachal Pradesh,W9,2014-08,10.5
Himachal Pradesh,W9,2014-09,9.68
Himachal Pradesh,W9,2014-10,10.05
Himachal Pradesh,W9,2014-11,9.02
Himachal Pradesh,W9,2014-12,9.75
Himachal Pradesh,W9,2015-01,10.01
Himachal Pradesh,W9,2015-02,10.32
Himachal Pradesh,W9,2015-03,10.24
Himachal Pradesh,W10,2014-04,14.52
Himachal Pradesh,W10,2014-05,16.39
Himachal Pradesh,W10,2014-06,16.4
Himachal Pradesh,W10,2014-07,17.68
Himachal Pradesh,W10,2014-08,16.37
Himachal Pradesh,W10,2014-09,17.02
Himachal Pradesh,W10,2014-10,14.15
Himachal Pradesh,W10,2014-11,12.81
Himachal Pradesh,W10,2014-12,15.11
Himachal Pradesh,W10,2015-01,14.35
Himachal Pradesh,W10,2015-02,13.8
Himachal Pradesh,W10,2015-03,16.31
Jammu & Kashmir,W1,2014-04,0.92
Jammu & Kashmir,W1,2014-05,1.01
Jammu & Kashmir,W1,2014-06,1.16
Jammu & Kashmir,W1,2014-07,1.03
Jammu & Kashmir,W1,2014-08,1.11
Jammu & Kashmir,W1,2014-09,0.92
Jammu & Kashmir,W1,2014-10,0.87
Jammu & Kashmir,W1,2014-11,0.86
Jammu & Kashmir,W1,2014-12,0.81
Jammu & Kashmir,W1,2015-01,0.92
Jammu & Kashmir,W1,2015-02,0.94
Jammu & Kashmir,W1,2015-03,1.1
Jammu & Kashmir,W2,2014-04,7.46
Jammu & Kashmir,W2,2014-05,7.76
Jammu & Kashmir,W2,2014-06,8.28
Jammu & Kashmir,W2,2014-07,8.75
Jammu & Kashmir,W2,2014-08,7.58
Jammu & Kashmir,W2,2014-09,7.3
Jammu & Kashmir,W2,2014-10,6.69
Jammu & Kashmir,W2,2014-11,6.47
Jammu & Kashmir,W2,2014-12,6.56
Jammu & Kashmir,W2,2015-01,7.36
Jammu & Kashmir,W2,2015-02,7.38
Jammu & Kashmir,W2,2015-03,8.11
Jammu & Kashmir,W3,2014-04,0.55
Jammu & Kashmir,W3,2014-05,0.55
Jammu & Kashmir,W3,2014-06,0.58
Jammu & Kashmir,W3,2014-07,0.5
Jammu & Kashmir,W3,2014-08,0.55
Jammu & Kashmir,W3,2014-09,0.52
Jammu & Kashmir,W3,2014-10,0.52
Jammu & Kashmir,W3,2014-11,0.47
Jammu & Kashmir,W3,2014-12,0.48
Jammu & Kashmir,W3,2015-01,0.49
Jammu & Kashmir,W3,2015-02,0.49
Jammu & Kashmir,W3,2015-03,0.54
Jammu & Kashmir,W4,2014-04,42.16
Jammu & Kashmir,W4,2014-05,48.7
Jammu & Kashmir,W4,2014-06,46.31
Jammu & Kashmir,W4,2014-07,43.59
Jammu & Kashmir,W4,2014-08,48.98
Jammu & Kashmir,W4,2014-09,47.25
Jammu & Kashmir,W4,2014-10,38.81
Jammu & Kashmir,W4,2014-11,35.99
Jammu & Kashmir,W4,2014-12,35.32
Jammu & Kashmir,W4,2015-01,40.82
Jammu & Kashmir,W4,2015-02,40.54
Jammu & Kashmir,W4,2015-03,44.65
Jammu & Kashmir,W5,2014-04,2.48
Jammu & Kashmir,W5,2014-05,2.42
Jammu & Kashmir,W5,2014-06,2.62
Jammu & Kashmir,W5,2014-07,2.37
Jammu & Kashmir,W5,2014-08,2.34
Jammu & Kashmir,W5,2014-09,2.23
Jammu & Kashmir,W5,2014-10,2.33
Jammu & Kashmir,W5,2014-11,2.07
Jammu & Kashmir,W5,2014-12,2.16
Jammu & Kashmir,W5,2015-01,2.25
Jammu & Kashmir,W5,2015-02,2.07
Jammu & Kashmir,W5,2015-03,2.47
Jammu & Kashmir,W6,2014-04,0.68
Jammu & Kashmir,W6,2014-05,0.7
Jammu & Kashmir,W6,2014-06,0.85
Jammu & Kashmir,W6,2014-07,0.8
Jammu & Kashmir,W6,2014-08,0.77
Jammu & Kashmir,W6,2014-09,0.76
Jammu & Kashmir,W6,2014-10,0.62
Jammu & Kashmir,W6,2014-11,0.6
Jammu & Kashmir,W6,2014-12,0.61
Jammu & Kashmir,W6,2015-01,0.66
Jammu & Kashmir,W6,2015-02,0.64
Jammu & Kashmir,W6,2015-03,0.72
Jammu & Kashmir,W7,2014-04,7.41
Jammu & Kashmir,W7,2014-05,7.58
Jammu & Kashmir,W7,2014-06,7.49
Jammu & Kashmir,W7,2014-07,7.98
Jammu & Kashmir,W7,2014-08,7.73
Jammu & Kashmir,W7,2014-09,6.16
Jammu & Kashmir,W7,2014-10,6.09
Jammu & Kashmir,W7,2014-11,5.93
Jammu & Kashmir,W7,2014-12,6.8
Jammu & Kashmir,W7,2015-01,6.37
Jammu & Kashmir,W7,2015-02,7.2
Jammu & Kashmir,W7,2015-03,7.09
Jammu & Kashmir,W8,2014-04,27.84
Jammu & Kashmir,W8,2014-05,28.53
Jammu & Kashmir,W8,2014-06,28.46
Jammu & Kashmir,W8,2014-07,28.93
Jammu & Kashmir,W8,2014-08,28.32
Jammu & Kashmir,W8,2014-09,22.12
Jammu & Kashmir,W8,2014-10,24.97
Jammu & Kashmir,W8,2014-11,23.44
Jammu & Kashmir,W8,2014-12,23.97
Jammu & Kashmir,W8,2015-01,23.01
Jammu & Kashmir,W8,2015-02,25.68
Jammu & Kashmir,W8,2015-03,24.37
Jammu & Kashmir,W9,2014-04,9.8
Jammu & Kashmir,W9,2014-05,10.35
Jammu & Kashmir,W9,2014-06,9.66
Jammu & Kashmir,W9,2014-07,11.7
Jammu & Kashmir,W9,2014-08,11.56
Jammu & Kashmir,W9,2014-09,9.21
Jammu & Kashmir,W9,2014-10,9.84
Jammu & Kashmir,W9,2014-11,9.1
Jammu & Kashmir,W9,2014-12,9.15
Jammu & Kashmir,W9,2015-01,8.86
Jammu & Kashmir,W9,2015-02,9.82
Jammu & Kashmir,W9,2015-03,10.68
Jammu & Kashmir,W10,2014-04,0.94
Jammu & Kashmir,W10,2014-05,0.95
Jammu & Kashmir,W10,2014-06,0.99
Jammu & Kashmir,W10,2014-07,0.99
Jammu & Kashmir,W10,2014-08,0.96
Jammu & Kashmir,W10,2014-09,0.98
Jammu & Kashmir,W10,2014-10,0.82
Jammu & Kashmir,W10,2014-11,0.82
Jammu & Kashmir,W10,2014-12,0.76
Jammu & Kashmir,W10,2015-01,0.83
Jammu & Kashmir,W10,2015-02,0.91
Jammu & Kashmir,W10,2015-03,0.95
Punjab,W1,2014-04,1.46
Punjab,W1,2014-05,1.56
Punjab,W1,2014-06,1.6
Punjab,W1,2014-07,1.65
Punjab,W1,2014-08,1.48
Punjab,W1,2014-09,1.38
Punjab,W1,2014-10,1.31
Punjab,W1,2014-11,1.28
Punjab,W1,2014-12,1.35
Punjab,W1,2015-01,1.46
Punjab,W1,2015-02,1.41
Punjab,W1,2015-03,1.46
Punjab,W2,2014-04,12.56
Punjab,W2,2014-05,11.83
Punjab,W2,2014-06,12.54
Punjab,W2,2014-07,10.42
Punjab,W2,2014-08,12.79
Punjab,W2,2014-09,11.81
Punjab,W2,2014-10,9.49
Punjab,W2,2014-11,9.5
Punjab,W2,2014-12,9.43
Punjab,W2,2015-01,10.33
Punjab,W2,2015-02,10.44
Punjab,W2,2015-03,11.5
Punjab,W3,2014-04,10.66
Punjab,W3,2014-05,10.37
Punjab,W3,2014-06,10.92
Punjab,W3,2014-07,12.58
Punjab,W3,2014-08,10.59
Punjab,W3,2014-09,10.53
Punjab,W3,2014-10,10.37
Punjab,W3,2014-11,8.81
Punjab,W3,2014-12,8.67
Punjab,W3,2015-01,9.43
Punjab,W3,2015-02,9.89
Punjab,W3,2015-03,9.69
Punjab,W4,2014-04,37.33
Punjab,W4,2014-05,38.77
Punjab,W4,2014-06,40.48
Punjab,W4,2014-07,42.77
Punjab,W4,2014-08,41.21
Punjab,W4,2014-09,37.78
Punjab,W4,2014-10,34.64
Punjab,W4,2014-11,35.16
Punjab,W4,2014-12,29.08
Punjab,W4,2015-01,34.11
Punjab,W4,2015-02,35.7
Punjab,W4,2015-03,42.58
Punjab,W5,2014-04,1.22
Punjab,W5,2014-05,1.27
Punjab,W5,2014-06,1.33
Punjab,W5,2014-07,1.42
Punjab,W5,2014-08,1.22
Punjab,W5,2014-09,1.18
Punjab,W5,2014-10,1.09
Punjab,W5,2014-11,1.01
Punjab,W5,2014-12,1.14
Punjab,W5,2015-01,1.17
Punjab,W5,2015-02,1.18
Punjab,W5,2015-03,1.24
Punjab,W6,2014-04,9.31
Punjab,W6,2014-05,8.53
Punjab,W6,2014-06,10.48
Punjab,W6,2014-07,8.77
Punjab,W6,2014-08,8.49
Punjab,W6,2014-09,8.58
Punjab,W6,2014-10,7.18
Punjab,W6,2014-11,7.7
Punjab,W6,2014-12,7.9
Punjab,W6,2015-01,8.81
Punjab,W6,2015-02,8.08
Punjab,W6,2015-03,8.47
Punjab,W7,2014-04,34.53
Punjab,W7,2014-05,36.0
Punjab,W7,2014-06,37.35
Punjab,W7,2014-07,35.79
Punjab,W7,2014-08,39.01
Punjab,W7,2014-09,32.0
Punjab,W7,2014-10,33.18
Punjab,W7,2014-11,30.76
Punjab,W7,2014-12,29.98
Punjab,W7,2015-01,31.24
Punjab,W7,2015-02,32.86
Punjab,W7,2015-03,36.09
Punjab,W8,2014-04,27.15
Punjab,W8,2014-05,31.48
Punjab,W8,2014-06,28.77
Punjab,W8,2014-07,31.77
Punjab,W8,2014-08,28.51
Punjab,W8,2014-09,25.83
Punjab,W8,2014-10,24.68
Punjab,W8,2014-11,26.27
Punjab,W8,2014-12,26.28
Punjab,W8,2015-01,23.68
Punjab,W8,2015-02,25.72
Punjab,W8,2015-03,27.42
Punjab,W9,2014-04,21.19
Punjab,W9,2014-05,18.79
Punjab,W9,2014-06,22.78
Punjab,W9,2014-07,23.93
Punjab,W9,2014-08,20.98
Punjab,W9,2014-09,20.23
Punjab,W9,2014-10,18.72
Punjab,W9,2014-11,17.94
Punjab,W9,2014-12,17.88
Punjab,W9,2015-01,19.65
Punjab,W9,2015-02,21.33
Punjab,W9,2015-03,20.82
Punjab,W10,2014-04,3.93
Punjab,W10,2014-05,3.89
Punjab,W10,2014-06,4.06
Punjab,W10,2014-07,4.6
Punjab,W10,2014-08,4.06
Punjab,W10,2014-09,3.62
Punjab,W10,2014-10,3.33
Punjab,W10,2014-11,3.25
Punjab,W10,2014-12,3.05
Punjab,W10,2015-01,3.43
Punjab,W10,2015-02,3.61
Punjab,W10,2015-03,3.86
Rajasthan,W1,2014-04,23.57
Rajasthan,W1,2014-05,26.24
Rajasthan,W1,2014-06,26.07
Rajasthan,W1,2014-07,23.41
Rajasthan,W1,2014-08,22.88
Rajasthan,W1,2014-09,23.01
Rajasthan,W1,2014-10,22.32
Rajasthan,W1,2014-11,21.43
